subject_id,brand,description,specTableContent,title
17348137,,""" Be free to create, connect and share in more ways than ever before. Now ready for pen, the Pavilion x360 is more than a laptop, it's the one device for everything you're into. Windows 10 Home 64;  Intel® Pentium® N4200 (1.1 GHz base frequency, up to 2.5 GHz burst frequency, 2 MB cache, 4 cores);  11.6' diagonal HD touch display;  4 GB DDR3L-1600 SDRAM (1 x 4 GB);  500 GB 5400 rpm SATA;  1 year limited hardware warranty, toll-free technical support; 90 days limited software technical support (from date of purchase); ""@en ",," ""HP Pavilion x360 - 11-ad018ca""@en 11-ad018ca HP Store Canada""@en"
7759463,," up to 2.5 GHz burst frequency connect and share in more ways than ever before. Now ready for pen it's the one device everything you're into. Windows 10 Home 64; Intel® Pentium® N4200 (1.1 base Pavilion x360 is a laptop 2 MB cache toll-free technical support; 90 days limited software support (from date of purchase); ""@en 4 cores); 11.6' diagonal HD touch display; GB DDR3L-1600 SDRAM (1 x GB); 500 5400 rpm SATA; 1 year hardware warranty "" Be free create",," ""HP Pavilion x360 - 11-ad018ca""@en"
11456656,,,," ""StarTech.com 10 100 1000Mbps 32 bit PCI Gigibit Ethernet Card""@en Card (ST1000BT32)""@en"
9650771,,," Quick Specs: Package Contents ST1000BT32 Ethernet Network Adapter Card 1 x Driver disk 1 x Installation Guide Host Interface PCI Device Supported PC Limited Warranty Lifetime Weight (Approximate) 1.90 oz Form Factor Plug-in Card Network Technology 10/100/1000Base-T Height 2.5"" Width 0.8"" Green Compliant Yes Green Compliance Certificate/Authority RoHS Number of Network (RJ-45) Ports 1 Total Number of Ports 1 ProductId 10162478"," ""Startech 1 Port PCI 10/100/1000 32 Bit Gigabit Ethernet Network Adapter Card"" Card - ST1000BT32 NCIX"""
3668151,"""Sandisk""@tr","""Null""@tr ", Ürün Kodu SDCZ33-016G-B35 Garanti Süresi 2 Yıl Üretici Kodu SDCZ33-016G-B35 Kapasite 16GB Max. Okuma Hızı Hayır Max. Yazma Hızı Hayır Bağlantı Arabirimi USB 2.0 Ek Özellikler Açılan Kapak Boyutlar (GxDxY) Hayır," ""Sandisk 16GB Cruzer Fit Usb Bellek (SDCZ33-016G-B35)""@tr"
11304906,"""Garmin""","""
		Descripción Garmin Forerunner 25 Hr Big 
		 
		
			Traducción generada automáticamente
			Ver descripción original en inglés
		
		
		
			Reloj de carrera con GPS fácil de usar con notificaciones inteligentes:- Realiza un seguimiento de la distancia, el ritmo, la frecuencia cardiaca¹ y las calorías- Comparte de forma instantánea el progreso del seguimiento en vivo de la actividad y las carreras² con tus amigos, familia y todo el mundo a través de las redes sociales con solo vincular un dispositivo compatible con Garmin Connect™ Mobile- El seguimiento en vivo de la actividad³ cuenta los pasos y las calorías y te recuerda cuándo debes ponerte en marcha- Batería de hasta 8 horas de duración con GPS encendido o 8 semanas en modo reloj/seguimiento de la actividad(pequeño)- Batería de hasta 10 horas de duración con GPS encendido o 10 semanas en modo reloj/seguimiento de la actividad(grande)- Guarda, planifica y comparte tus actividades en Garmin Connect™Especificaciones:- Dimensiones de la unidad (Ancho/Alto/Profundidad): Morado/negro y blanco/rosa: 35,9 x 43,9 x 13,9 mm- Azul/negro y negro/rojo: 40,2 x 47,0 x 13,9 mm- Tamaño de la pantalla (Ancho/Alto): Morado/negro y blanco/rosa: 18,5 x 18,5 mm- Azul/negro y negro/rojo: 23 x 23 mm- Resolución de pantalla (Ancho/Alto): 128 x 128 píxeles- Peso: Pequeño: 31 g- Grande: 39 g- Batería: Ión-litio recargable- Duración de la batería: Pequeño: 8 semanas en modo de reloj; 8 horas en modo de entrenamiento. Grande: 10 semanas en modo de reloj; 10 horas en modo de - entrenamiento.- Clasificación de resistencia al agua: 5 ATM- GPS integrado: Sí- Receptor de alta sensibilidad: Sí- Notificaciones inteligentes (muestra correo electrónico, texto y otras alertas cuando está vinculado a tu teléfono compatible): SíMapas y memoria:- Historial de actividades: 7 actividadesFunciones de carrera:- Virtual Pacer™ (compara el ritmo actual con el ritmo objetivo): Sí- Acelerómetro (calcula distancias de entrenamiento en interiores, sin necesidad de podómetro): Sí- Registros personales: SíFunciones de carrera y ciclismo:- Pulsómetro: Sí (algunas versiones)- Podómetro: Sí (opcional)- Auto Pause (el temporizador se detiene y reinicia en función de tu ritmo): Sí- Auto Lap® (inicia automáticamente una nueva vuelta): Sí- Alertas de tiempo/distancia (activa una alarma cuando alcanzas la meta): Sí- Cálculo de las calorías en función del ritmo cardíaco: Sí- Cálculo de calorías quemadas: Sí- Pantallas personalizables: Sí- Shock Resistant: SíFunciones de seguimiento en vivo de la actividad:- Contador de pasos: Sí- Objetivo automático (aprende tu nivel de actividad y asigna una meta diaria): Sí- Barra de movimiento (muestra en el dispositivo tras un periodo de inactividad; camina unos minutos para restablecerlo): Sí- Monitorizar sueño (monitoriza el periodo total de sueño y los periodos de movimiento o de sueño profundo): SíGarmin Connect™:- Compatible con Garmin Connect™ (comunidad online en la que puedes analizar, clasificar y compartir datos): Sí- Sincronización automática (transfiere automáticamente sesiones de ejercicios al equipo): SíCaracterísticas adicionales:- Bluetooth Smart (BLE) transfiere a Garmin Connect Mobile- Notificaciones inteligentes- Alertas sobre tiempo, distancia y calorías, así como de frecuencia cardiaca y carrera/paseoEn la caja:Solo con reloj:- Forerunner 25- Cable de datos/alimentación- DocumentaciónReloj con monitor de frecuencia cardiaca:- Forerunner 25- Monitor de frecuencia cardiaca- Cable de datos/alimentación- Documentación
			¿Estás pensando en comprar Garmin Forerunner 25 Hr Big? es uno de los productos estrella en trekkinn, la tienda online de . Tiene un peso de  kg. y su precio es de 125.95 $. En trekkinn podrás beneficiarte de las mejores ventajas y encontrar productos de Garmin al mejor precio. Todos nuestros productos de  tienen la garantía de calidad del fabricante.
			
				
					
				
				
				 
				
					Haz clic en el siguiente enlace para ver más información sobre:
					Especificaciones
				
			
			
				
					
				
				
					Haz clic en el siguiente enlace para ver más información sobre:
					Manual
				
			
			
				
					Cuadro de tallas
				
			
		
	"" ",," ""Garmin Forerunner 25 Hr Big"" Big comprar y ofertas en Trekkinn"""
17557460,"""Apple""","""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver"
3279655,"""Apple""@en-US","""1.6 GHz Intel Core i5 (Broadwell) 4GB of 1600 MHz LPDDR3 RAM 128GB PCIe-Based Flash Storage Integrated Intel HD Graphics 6000 11.6 LED-Backlit Glossy Display 1366 x 768 Native Resolution 802.11ac Wi-Fi, Bluetooth 4.0 USB 3.0, Thunderbolt 2 720p FaceTime HD Camera Mac OS X 10.10 Yosemite ""@en-US ", Manufacturer Apple Computer Brand Apple Color silver Model MJVM2LL/A UPC 616348081665 Item Weight 4.2 pounds Item Size 1 x 1 x 1 inches Package Weight 4.95 pounds Package Size 9.1 x 2.4 x 2.4 inches Units in Package 1," "" Apple MacBook Air MJVM2LL/A 11.6-Inch Laptop (1.6 GHz Intel Core i5, 128 GB Hard Drive, Integrated HD Graphics 6000, Mac OS X 10.10 Yosemite) ""@en-US ""Apple i5 Drive I""@en-US"
8829464,,, Quick Specs: CAS Latency CL10 Error Checking Non-ECC Number of Modules 2 x 8 GB Number of Pins 240-pin Signal Processing Unbuffered Limited Warranty Lifetime Form Factor DIMM Memory Speed 1600 MHz Memory Size 16 GB Memory Technology DDR3 SDRAM Memory Standard DDR3-1600/PC3-12800 ProductId 1021322346," ""Corsair Vengeance Black CMZ16GX3M2A1600C10 16GB 2x8GB DDR3-1600 CL10 1.5V Dual Channel Memory Kit"" 2X8GB DDR3 1600MHz - NCIX"""
1496284,,"""Vengeance Low Profile heat spreaders have a reduced height of 1.03"". They're designed for high-performance systems with extra-large CPU coolers, small form factor system builds, or any other space-constrained application where you need high-performance memory but standard Vengeance modules might not fit."" ",," ""Corsair Vengeance - DDR3 8 GB : 2 x 4 SO-DIMM 204-pin"" "" Corsair 204-pin CMSX8GX3M2A1600C9 System Memory (RAM) CDW.com"
9479293,"""WD""@en","""WDS100T1B0A - WD Blue PC SSD 2.5”/7mm cased, SATA III - 6Gb/s, Read 545MB/s, Write 525MB/s, 100k/80k IOPS""@en ",," ""WD Blue 1TB 2.5"" SATA 6Gbps Solid State Drive (WDS100T1B0A)""@en ""▷ WD (WDS100T1B0A) | OcUK""@en"
4254103,,"""Seagate Laptop Thin SSHD fuses the blazing speed of SSD with the high capacity of a hard drive. With Seagate Adaptive Memory technology, SSHD dramatically improves boot times and application speeds, unleashing your system's performance."" ",," ""Seagate Laptop SSHD 1 TB Internal SSHD"" "" Seagate - ST1000LM014 Notebook Hard Drives CDW.com"
3495314,,"""
	WD Red WD20EFRX 2TB Desktop Internal Hard Drive
""@en-US ", Weight 2 kg Series RED Interface SATA SATA 6.0Gb/s Brand Western Digital Model WD20EFRX HDD Capacity 2TB Form Factor 3.5″ Warranty 3 Years HDD Speed IntelliPower Cache 64 Weight 2 kg Series RED Interface SATA SATA 6.0Gb/s Brand Western Digital Model WD20EFRX HDD Capacity 2TB Form Factor 3.5″ Warranty 3 Years HDD Speed IntelliPower Cache 64," ""Buy Online | WD Red WD20EFRX 2TB Desktop Internal Hard Drive Price in India""@en-US"
12735662,,"""WD Black Performance Hard Drive WD2003FZEX - Disco duro - 2 TB - interno - 3.5"" - SATA 6Gb/s - 7200 rpm - búfer: 64 MB""@es ",," ""HDD Black 2TB 3.5 SATA 6Gbs 64MB""@es ""Zona Apple Tu tienda online líder con precios más baratos! ""@es"
16789101,,"""12.5/i5-7200U/8GB/SSD256GB/WIN10""@es ",," ""Asus ZenBook 3 UX390UA-GS042T i5-7200u 8GB 256GB SSD 12.5 W10 Azul, Oro""@es Transformer Book T101HA-GR034T 2 en 1 Z8350 4GB 128GB 10.1... ""@es"
4247537,,"""
Windows 10 Pro
Procesador Intel® Core™ m7-6Y75 (1,2 GHz, hasta 3,1 GHz con tecnología Intel Turbo Boost, 4 MB de caché, 2 núcleos)
Pantalla táctil ultra delgada con retroiluminación LED FHD BrightView WUXGA+ UWVA eDP
12"" 1920 x1280 conectada directamente, Corning® Gorilla® Glass 4
Memoria 8GB RAM
Disco duro 256GB SSD
Con teclado estándar
Combo de Intel® Dual Band Wireless-AC 8260 802.11a/b/g/n/ac (2x2) WiFi y Bluetooth® 4.2Módulo de banda ancha móvil HP lt4120 Qualcomm® Snapdragon™ X5 LTE
""@es ",," ""HP Elite x2 1012 G1 2 en 1 Core M7-6Y65 8GB 256GB SSD 4G LTE Tactil 12 W10Pro""@es Spectre Pro G2 x360 i7-6600u 512GB 13.3 FHD W10Pr... ""@es"
7066948,"""HP Enterprise""","""Description:5 x 146GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 507125-B21
Spare Part# 507283-001
Assembly Part# 507119-001
Model# DG0146FAMWL"" ", Specifications: Category Proliant HardDrive Sub-Category 10K Generation SAS Part Number DG0146FAMWL-5Pack Products ID 463201 Type Hard Drive - Hot-Swap Capacity 146GB Interface Type Serial Attached SCSI Spindle Speed 10000RPM Ports Dual Port Speed 6GB/s," ""DG0146FAMWL HP 146-GB 6G 10K 2.5 DP SAS"", ""Null"" ""New DG0146FAMWL SAS 5 Pack Wholesale Price DG0146FAMWL-5Pack"""
16196401,"""HP Enterprise"""," ""Description:StorageWorks 72.8GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 238921-B21 Spare 244448-002 Assembly 359461-005 Model# BD0725822B 2-5-2 FE-19980-01""", Specifications: Category Storageworks HDD Sub-Category 10K Generation Fibre Channel Part Number 359461-005 Products ID 144408 Type Hard Drive Hot-Swap Form Factor 3.5 inch x 1 inch Plug-in Module Capacity 72.8GB Interface Type FC-AL Data Transfer Rate 2GB/s Rotational Speed 10000RPM Pins 40 Manufacturer HP/Compaq Pre-Failure Warranty Yes," ""Null"" ""359461-005 HP 72.8-GB 10K FC-AL HDD"""
17250273,"""Hewlett Packard Enterprise""","""
                More>>>
                
                
                                                
                                            
                            Short summary description Hewlett Packard Enterprise 50/100 AIT internal ALL tape drive:
                            This short summary of the Hewlett Packard Enterprise 50/100 AIT internal ALL tape drive data-sheet is auto-generated and uses the product title and the first six key specs.
                            Hewlett Packard Enterprise 50/100 AIT internal ALL
                        
                                                                
                            Long summary description Hewlett Packard Enterprise 50/100 AIT internal ALL tape drive :
                            Hewlett Packard Enterprise 50/100 AIT internal ALL
                            This is an auto-generated long summary of Hewlett Packard Enterprise 50/100 AIT internal ALL tape drive based on the first three specs of the first five spec groups.


                        
                                    
            "", ""Null"" ",," ""Hewlett Packard Enterprise 50/100 AIT internal ALL tape drive"" ""Product data Hewlett drive drives (157766-B21)"""
15440806,"""HP Enterprise"""," ""Description:HP NC373F PCI Express Multifunction Gigabit Server AdapterPart Number(s) Option Part# 394793-B21 Spare 395864-001""", Specifications: Category Proliant Option Sub-Category Proliant Network Adapter Generation PCI-e 1 Gbps Part Number 394793-B21 Products ID 455475 Device Type Network Adapter Device Type PCI Express x4 Data Transfer Rate 1GB/s RAM 92KB," ""394793-B21 PCI-E GB Server Adapter"" ""Null"""
5426805,"""Western Digital""@es","""Western Digital Edición RED modelo WD60EFRX. Disco Duro NAS 6TB  Esta unidad de almacenamiento de 3.5 de bajo consumo energético y silencioso, esta especialmente indicada para instalar en equipos NAS mejorando así el rendimiento de estos servidores.""@es ",," ""WD60EFRX6TB Disco Duro 3.5"" Edición RED NAS 64MB""@es WD60EFRX Western Digital""@es ""Disco duro interno"
11414496,"""91""@en","""2TB Capacity, SATA 6Gb/s Interface, 8.5ms Average Seek Time, 64MB Cache, 1 Year Warranty.""@en "," Product Description Seagate Barracuda - hard drive - 2 TB - SATA Form Factor 3.5"" x 1/3H Manufacturer Warranty 1 year warranty Dimensions (WxDxH) 10.16 cm x 14.699 cm x 2.611 cm Weight 0.6 kg Type Hard drive - internal Interface Type SATA 6Gb/s Buffer Size 64 MB Capacity 2TB Average Seek Time 8.5 ms Spindle Speed 7200 rpm Connector 7 Pin Sata"," ""SeagateBarracuda 7200.12 2TB 64MB Cache Hard Drive SATA 6 Gb/s 7200rpm - OEM ""@en | ST2000DM001 Novatech""@en"
17341652,"""SanDisk"""," SanDisk"" ""SDCFXPS-032G DFA 32GB 50p CF 1066x 160MB/s CompactFlash Card Sandisk Extreme Pro",," ""SanDisk SDCFXPS-032G DFA 32GB 50p CF 1066x 160MB/s CompactFlash Card Sandisk Extreme Pro"""
15245435,"""Gigaram"""," ""CDW 32GB 50p CF CompactFlash C""",," ""Gigaram CDW 32GB 50p CF CompactFlash C"""
14419422,,"""ASUS GeForce GTX 1070 ASUS Turbo 8GB GDDR5 VR Ready Graphics Card, 1920 Core, 1506MHz GPU, 1683MHz Boost                 ""@en ",," ""ASUS NVIDIA GeForce GTX 1070 Turbo 8GB Graphics Card""@en Card LN73835 - TURBO-GTX1070-8G | SCAN UK""@en"
7439192,,"""Discover unprecedented performance, power efficiency, and amazing gaming experience with GeForce GTX graphics cards. Just like in games, the exclusive MSI Torx 2.0 Fan technology uses the power of teamwork to allow the Twin Frozr VI to achieve new levels of cool. Torx 2.0 Fan design generates more air pressure for supremely silent performance in the heat of battle. Double Ball Bearings give the unique MSI Torx 2.0 Fans a strong and lasting core for years of smooth gaming. They also remain virtually silent while spinning under load, keeping your graphics card cool during intense and lengthy gaming sessions. A tailored PCB design higher performance and extra cooling comes with an extra 6-pin connector to allow for overclocking beyond the limits."" ",," ""MSI GTX 1080 GAMING X 8G - graphics card GF 8 GB"" "" MSI GB Video Cards CDW.com"
15626133,,"""
Windows 7 Professional 64
Procesador Intel® Core™ i7-6700HQ
15,6"" LED FHD UWVA IPS antirreflectante (1920 x 1080)
Memoria 8 GB DDR4
Disco duro HP Z de 256 GB SSD
Gráficos NVIDIA® Quadro® M1000M (GDDR5 dedicado de 4 GB)
Combo de Intel® Dual Band Wireless-AC 8260 802.11 a/b/g/n/ac (2x2) no vPro Wi-Fi y Bluetooth® 4.0
""@es ",," ""HP ZBook Studio G3 i7-6700HQ 8GB 256GB SSD M1000 4GB 15.6 FHD W7Pro""@es OMEN 15-AX209NS i7-7700HQ 1TB Nvidia GTX1050 2GB Freedos 15.... ""@es"
13199405,,""" Preparado para la empresa, el HP ProDesk 600 SFF es un PC con gran capacidad de expansión, opciones de conectividad flexibles, una sólida seguridad, así como características completas que facilitan la gestión, todo ello en un elegante chasis rediseñado para el lugar de trabajo moderno. Windows 10 Pro 64;  Procesador Intel® Core™ i5-7500;  Tarjeta gráfica Intel® HD Graphics 630	;  Memoria SDRAM de 8 GB DDR4-2400;  Disco duro SATA de 7200 rpm 1 TB 3,5'	;  3 Años de garantía limitada incluidos 3 años de piezas, mano de obra y servicio in situ al siguiente día laborable. Los términos y las condiciones varían según el país. Existen ciertas restricciones y limitaciones.; ""@es ",," ""ProDesk 600 SFF + Monitor""@es Monitor - HP Store España""@es"
1721177,,,," ""Corsair 32GB PC4-25600 288-pin DDR4 SDRAM DIMM Kit""@en Kit (CMK32GX4M4B3200C16W)""@en"
12904050,"""Zebra""@it","""Zebra LS2208, 1D, SR, multi-IF, kit (RS232), anthracite""@it ",," ""Zebra LS2208, 1D, SR, multi-IF, kit (RS232), anthracite""@it "" Lettore Zebra-LS2208; impugnabile multi-uso cod.LS2208-SR20001R-UR ""@it"
10214831,"""TP-Link""",,," ""TP-Link TLWDN4800 N900 Wireless Dual Band PCI Express Adapter"" TL-WDN4800"
15141736,,"""TP-LINK's 450 Mbps wireless N dual band PCI Express adapter, TL-WDN4800 allows you to connect a desktop computer to a wireless network and access a high-speed wireless network connection. Complying with IEEE 802.11a/b/g/n, the device can use the 2.4 GHz or 5 GHz channels and provide wireless speeds of up to 450 Mbps which is ideal for users seeking a highly robust, bandwidth intensive wireless networking experience, particularly with HD video streaming and online gaming."" ",," ""TP-LINK TL-WDN4800 - network adapter"" "" TP-LINK adapter Wireless Adapters & Accessories CDW.com"
2592762,"""Intel""",,," ""Intel - Core i7-7800X 3.5GHz 6-Core Processor"" Processor (BX80673I77800X) PCPartPicker India"""
1720353,"""Intel""@en-GB",,," ""CORE I3-6100 3.70GHZ""@en-GB 3.70GHZ | BX80662I36100""@en-GB"
9641914,"""AMD""@en","""Radeon Pro WX 4100 GPUs provide great performance in a half-height card, designed for small form factor (SFF) workstations.""@en ",," ""AMD Radeon Pro WX4100 Professional Graphics Card - 4GB GDDR5 1024 Stream Processors""@en ""▷ AMD GDDR5… | OcUK""@en"
15129056,,"""4GB AMD Radeon Pro WX 4100, PCIe 3.0, GDDR5, 925MHz GPU, 975MHz Boost, 1024 Streams, Low Profile, 4xMini DisplayPort 1.4 ""@en ",," ""AMD Radeon Pro WX 4100 4GB Low Profile Workstation Graphics Card""@en Card LN76311 - 100-506008 | SCAN UK""@en"
4062044,,"""MEMORIA USB 32GB KINGSTON DATATRAVELER SE9H ACERO LLAVERO"" ",," ""MEMORIA USB 32GB KINGSTON DATATRAVELER SE9H"""
1594426,"""Kingston""@en",,," ""Kingston 32GB DataTraveler 50 USB 3.0 Flash Drive Metal/Red""@en ""<p>Kingston Drive|Zoombits</p> | Memorybits UK""@en"
17332690,"""HP Enterprise""","""Description:Rack-mountable - 4U - 4-way - Intel Xeon MP 3.16 GHz RAM 1 GB - Hot-Swap 2.5-inch - no HDD - DVD/CD - Gigabit Ethernet HP Part# 377239-001 "" ",," ""377239-001 DL580 G3 Intel Xeon MP 3.16GHz "", ""Null"" Price 377239-001 "" Wholesale"
13036398,"""HP Enterprise"""," ""Description:Fan: Fan - Chassis 120MM 130CFM V/Speed 3BLPart Number(s) Manufacturer Part# 122633-001""", Specifications:  Category Fan Sub-Category Chassis Fan Generation 120mm Part Number 122633-001 Products ID 141458," ""Null"" ""122633-001 - FAN CHASSIS 120MM 130"""
14720503,"""Corsair""@en","""3200MHz RAM Speed, CAS 16-18-18-35  Timings, 1.20V VDIMM, Lifetime Warranty with OcUK""@en ",," ""Corsair Vengeance LPX 16GB (4x4GB) DDR4 PC4-25600C16 3200MHz Quad Channel Kit - Black (CMK16GX4M4C32""@en ""▷ Corsair 3200MHz… | OcUK""@en"
12561495,,,," ""Corsair 16GB PC4-21300 288-pin DDR4 SDRAM DIMM Kit""@en Kit (CMK16GX4M2A2666C16)""@en"
7739662,"""Zebra""@it","""Zebra ZXP7 stampante di card, stampa a trasferimento termico a sublimazione, interfaccia USB/Ethernet, stampa solo fronte, magnetizzatore, standard ISO HiCo/LoCo, risoluzione 12 dots/mm (300 dpi)""@it ",," ""Zebra Stampante Card ZXP7; magnetizzatore""@it "" ZXP7 ""@it"
